"iso3","year","loan"
"AFG",2004,132.7
"AFG",2005,92.15
"AFG",2006,37.41
"AFG",2007,129.09
"AFG",2008,74.53
"AFG",2009,51.99
"AFG",1995,-0.06
"AFG",1996,-0.05
"AFG",1997,-0.03
"AFG",1998,-0.14
"AFG",1999,1.67
"AFG",2002,-35.38
"AFG",2003,9.85
"AFG",2017,108.09
"AFG",2018,189.2
"AFG",2019,130.81
"AFG",2011,28.51
"AFG",2012,68.67
"AFG",2013,11.41
"AFG",2010,-73.04
"AFG",2015,-27.85
"AFG",2016,-6.22
"AFG",2014,-18.21
"ALB",1996,59.92
"ALB",1997,56.23
"ALB",1998,107.68
"ALB",2000,101.93
"ALB",2001,69.74
"ALB",2016,-40.07
"ALB",1999,138.62
"ALB",1995,72.28
"ALB",2008,62.52
"ALB",2009,88.24
"ALB",2010,102.24
"ALB",2011,114.9
"ALB",2012,105.49
"ALB",2014,40.18
"ALB",2015,40.06
"ALB",2017,-48
"ALB",2018,74.32
"ALB",2019,-223.74
"ALB",2005,74.39
"ALB",2006,73.97
"ALB",2007,74.58
"ALB",2003,91.58
"ALB",2013,68.73
"ALB",2002,119.89
"ALB",2004,97.52
"DZA",1995,124.95
"DZA",2005,24.13
"DZA",1999,-2.99
"DZA",1996,93.99
"DZA",1997,104.96
"DZA",2006,-108.78
"DZA",2019,-81.8
"DZA",2003,20.47
"DZA",2004,26.21
"DZA",2009,-6.44
"DZA",1998,206.06
"DZA",2007,4.47
"DZA",2008,5.39
"DZA",2017,-91.18
"DZA",2018,-113.82
"DZA",2014,-78.19
"DZA",2016,-69.57
"DZA",2015,-121.74
"DZA",2000,62.54
"DZA",2002,-4.15
"DZA",2011,-98.32
"DZA",2012,-103.19
"DZA",2010,-57.07
"DZA",2001,79.02
"DZA",2013,-63.41
"AGO",2019,-154.73
"AGO",2017,23.7
"AGO",2000,48.87
"AGO",2007,-100.61
"AGO",2018,-25.27
"AGO",2001,12.36
"AGO",2002,17.45
"AGO",2015,216.21
"AGO",2003,1.16
"AGO",1999,68.82
"AGO",2004,709.45
"AGO",2005,30.89
"AGO",2016,10.2
"AGO",2010,-9.08
"AGO",2011,-8.76
"AGO",2012,36.05
"AGO",2006,-203.84
"AGO",2014,35.21
"AGO",2008,21.34
"AGO",2009,1.28
"AGO",2013,74.33
"AGO",1997,55.77
"AGO",1998,67.23
"AGO",1996,84.17
"AGO",1995,17.56
"AIA",2007,2.55
"AIA",2005,-0.33
"AIA",2006,-0.33
"AIA",2003,1.26
"AIA",2008,-0.39
"AIA",2004,0.31
"AIA",2002,-1.2
"AIA",2013,-0.27
"AIA",2009,-0.14
"AIA",2001,0.38
"AIA",2000,-0.27
"AIA",2012,-0.19
"AIA",1999,-0.48
"AIA",2010,-0.38
"AIA",2011,-0.24
"AIA",1998,-2.41
"AIA",1996,-0.09
"AIA",1997,0.13
"AIA",1995,0.11
"ATG",2007,-0.95
"ATG",1996,2.58
"ATG",2000,4.76
"ATG",2008,0.55
"ATG",1995,0.38
"ATG",2006,-0.67
"ATG",1999,1.46
"ATG",1997,2.41
"ATG",1998,-1.15
"ATG",2010,-0.5
"ATG",2013,-1.02
"ATG",2015,-1.25
"ATG",2009,0
"ATG",2005,-0.23
"ATG",2019,3.62
"ATG",2011,-0.76
"ATG",2012,-0.25
"ATG",2016,-7.19
"ATG",2003,1.74
"ATG",2004,-0.75
"ATG",2017,-1.07
"ATG",2018,13.23
"ATG",2001,1.64
"ATG",2002,2.01
"ATG",2014,-0.64
"ARG",2000,-14.13
"ARG",2001,71.99
"ARG",1999,-8.55
"ARG",1997,-7.38
"ARG",1998,-31.7
"ARG",2003,17.38
"ARG",1995,28.03
"ARG",1996,17.39
"ARG",2002,-13.1
"ARG",2007,-19.43
"ARG",2011,-23.77
"ARG",2012,81.37
"ARG",2010,23.76
"ARG",2013,-51.66
"ARG",2017,-76.96
"ARG",2008,-0.61
"ARG",2014,-34.68
"ARG",2019,-73.24
"ARG",2005,14.78
"ARG",2006,19.82
"ARG",2009,-12.01
"ARG",2004,8.26
"ARG",2015,-86.62
"ARG",2018,-4.56
"ARG",2016,-67.18
"ARM",1996,151.98
"ARM",1997,117.03
"ARM",2000,60.3
"ARM",1998,115.27
"ARM",1995,88.5
"ARM",2005,22.8
"ARM",2002,100.19
"ARM",1999,106.14
"ARM",2007,181
"ARM",2008,125.43
"ARM",2006,52.97
"ARM",2019,264.87
"ARM",2003,100.47
"ARM",2004,93.22
"ARM",2010,125.92
"ARM",2013,119.52
"ARM",2001,80.3
"ARM",2011,107.9
"ARM",2017,126.26
"ARM",2018,-17.09
"ARM",2014,114.09
"ARM",2015,170.27
"ARM",2009,228.53
"ARM",2012,129.53
"ARM",2016,123.71
"ABW",1998,-7.48
"ABW",1997,-7.32
"ABW",1996,-8.36
"ABW",1995,-3.26
"ABW",1999,-7.44
"AZE",2013,-214.87
"AZE",2012,159.21
"AZE",1996,35.8
"AZE",2011,131.39
"AZE",2010,14.52
"AZE",2014,78.33
"AZE",1997,133
"AZE",1998,52.26
"AZE",2008,71.19
"AZE",2007,65.32
"AZE",2003,178.24
"AZE",1995,30.2
"AZE",2004,46.8
"AZE",2009,80.22
"AZE",2006,47.06
"AZE",2017,31.65
"AZE",2016,-6.88
"AZE",2015,-22.45
"AZE",1999,93.64
"AZE",2018,-3.09
"AZE",2005,55.93
"AZE",2002,208.64
"AZE",2019,24.76
"AZE",2001,139.05
"AZE",2000,58.59
"BHS",1995,-1.67
"BHR",2004,48.5
"BHR",2003,75.43
"BHR",1999,-5.68
"BHR",1997,14.63
"BHR",1996,-10.54
"BHR",2000,24.86
"BHR",2002,49.2
"BHR",1998,13.6
"BHR",2001,8.89
"BHR",1995,-7.03
"BGD",2001,110.32
"BGD",2000,172.52
"BGD",2002,59.37
"BGD",1999,160.81
"BGD",2017,2441.4
"BGD",2015,1455.6
"BGD",2013,1088.28
"BGD",2014,1091.37
"BGD",1998,120.72
"BGD",2009,-22.24
"BGD",2010,42.26
"BGD",1997,50.26
"BGD",2011,103.17
"BGD",2012,851.85
"BGD",2005,425.02
"BGD",1996,100.34
"BGD",2019,2670.73
"BGD",2008,-209.69
"BGD",2003,576.18
"BGD",2016,1428.18
"BGD",1995,61.58
"BGD",2007,214.94
"BGD",2004,389.77
"BGD",2018,1525.5
"BGD",2006,41.95
"BRB",2004,24.69
"BRB",1995,-2.06
"BRB",2003,17.27
"BRB",1996,2.06
"BRB",2006,-7.33
"BRB",1997,0.98
"BRB",2001,-3.68
"BRB",2005,-7.95
"BRB",1999,-2.44
"BRB",2002,0.76
"BRB",2008,1.77
"BRB",2007,3.81
"BRB",1998,11.66
"BRB",2009,0.37
"BRB",2000,-0.97
"BRB",2010,-0.03
"BLR",2017,-379.69
"BLR",2008,-4.83
"BLR",2006,-3.7
"BLR",2012,-4.78
"BLR",2007,-4.77
"BLR",2014,-4.8
"BLR",2011,-4.8
"BLR",2005,-1.91
"BLR",2015,-4.7
"BLR",2018,-3.64
"BLR",2019,86.27
"BLR",2009,-4.76
"BLR",2013,-4.77
"BLR",2010,-4.75
"BLR",2016,-136.65
"BLZ",2001,-7.37
"BLZ",2015,1.86
"BLZ",2016,2.1
"BLZ",2005,-2.66
"BLZ",2017,7.66
"BLZ",2018,12.14
"BLZ",2019,-7.58
"BLZ",1996,6.47
"BLZ",2000,-0.96
"BLZ",2011,0.2
"BLZ",2004,-2.76
"BLZ",2003,-0.68
"BLZ",2012,-0.66
"BLZ",1997,2.7
"BLZ",2013,9.76
"BLZ",2014,0.27
"BLZ",1995,3.54
"BLZ",2009,6
"BLZ",1998,-19.52
"BLZ",1999,27.58
"BLZ",2007,1.7
"BLZ",2010,-0.5
"BLZ",2002,7.41
"BLZ",2008,1.89
"BLZ",2006,-5.41
"BEN",1998,18.58
"BEN",2002,11.2
"BEN",1997,17.24
"BEN",2009,104.73
"BEN",1996,99.03
"BEN",2016,141.57
"BEN",2003,6.69
"BEN",2010,137.13
"BEN",2005,33.61
"BEN",2007,95.08
"BEN",2004,-28.99
"BEN",1995,70.06
"BEN",2001,67.68
"BEN",2013,230.6
"BEN",2008,140.35
"BEN",2018,161.96
"BEN",2019,115.28
"BEN",2012,62.52
"BEN",2017,191.14
"BEN",1999,48.75
"BEN",2000,25.23
"BEN",2006,-1068.87
"BEN",2014,159.97
"BEN",2015,132.22
"BEN",2011,58.35
"BMU",1995,-2.17
"BMU",1996,-4.14
"BTN",2016,-7.89
"BTN",1998,3.84
"BTN",1995,2.08
"BTN",1999,5.08
"BTN",2004,7.66
"BTN",2005,8.1
"BTN",2010,26.3
"BTN",2006,10.1
"BTN",2003,8.11
"BTN",2002,8.11
"BTN",2015,15.75
"BTN",2014,51.26
"BTN",1996,1.48
"BTN",2001,7.22
"BTN",2009,22.67
"BTN",2017,44.01
"BTN",2018,33.18
"BTN",1997,3.48
"BTN",2013,27.86
"BTN",2012,57.16
"BTN",2000,4.45
"BTN",2008,7.42
"BTN",2019,65.17
"BTN",2007,7.42
"BTN",2011,35.15
"BOL",2003,24.79
"BOL",1999,113.02
"BOL",2004,-336.07
"BOL",2016,396.56
"BOL",1996,183.54
"BOL",2018,420.1
"BOL",2017,623.52
"BOL",1995,140.35
"BOL",2002,-228.87
"BOL",2008,30.41
"BOL",2012,234.26
"BOL",2015,505.81
"BOL",2007,-81.82
"BOL",2006,-1573.07
"BOL",2011,42.8
"BOL",2005,11.41
"BOL",2001,78.18
"BOL",1998,128.7
"BOL",2013,309.23
"BOL",2010,-69.08
"BOL",2000,45.08
"BOL",2019,447.79
"BOL",2014,330.74
"BOL",2009,30.71
"BOL",1997,135.56
"BIH",1998,163.74
"BIH",2000,63.5
"BIH",1997,74.81
"BIH",2011,293.83
"BIH",2019,105.75
"BIH",2001,85.13
"BIH",2006,85.61
"BIH",2008,71.42
"BIH",1996,115.62
"BIH",2005,124.06
"BIH",2007,79.83
"BIH",2017,118.75
"BIH",2018,62.34
"BIH",1999,113.49
"BIH",2014,197.74
"BIH",2016,173.83
"BIH",2015,4.85
"BIH",2004,248.12
"BIH",2002,107.43
"BIH",2003,72.09
"BIH",2012,234.92
"BIH",2013,164.62
"BIH",2010,143.67
"BIH",2009,72.1
"BWA",2006,-18.62
"BWA",2018,0.19
"BWA",2008,-25.07
"BWA",2011,-7.51
"BWA",2012,-10.05
"BWA",1997,39.43
"BWA",2005,-17.85
"BWA",2010,-3.07
"BWA",2013,-14.3
"BWA",2017,-2.25
"BWA",2003,-14.26
"BWA",2019,-9.72
"BWA",1996,7.51
"BWA",2007,-11.84
"BWA",2014,-16.02
"BWA",2009,10.86
"BWA",1995,10.17
"BWA",2016,-6.23
"BWA",2001,-5.23
"BWA",1998,29.44
"BWA",2004,-16.98
"BWA",2015,-14.49
"BWA",2002,-14.64
"BWA",2000,-5.63
"BWA",1999,0.82
"BRA",2004,-112.44
"BRA",2001,1.29
"BRA",2011,410.9
"BRA",2005,-84.46
"BRA",1996,-52.33
"BRA",2003,-79.32
"BRA",1999,-115.86
"BRA",2002,-19.87
"BRA",2007,-83.85
"BRA",2006,-195.05
"BRA",2000,13.24
"BRA",2015,535.24
"BRA",1995,-45.25
"BRA",2018,9.05
"BRA",2014,423.63
"BRA",2013,60.62
"BRA",1998,-19.97
"BRA",2019,-89.16
"BRA",2012,796.94
"BRA",2009,-58.64
"BRA",2010,42.16
"BRA",2016,157.04
"BRA",1997,-46.42
"BRA",2017,-139.94
"BRA",2008,30.16
"VGB",1995,1.67
"VGB",1996,0
"VGB",1999,1.28
"VGB",1998,-0.36
"VGB",1997,0.26
"BFA",2019,241.27
"BFA",1997,63.63
"BFA",2005,161.88
"BFA",1996,67.76
"BFA",2018,289.3
"BFA",2009,232.17
"BFA",1998,92.85
"BFA",1995,126.42
"BFA",2008,252.26
"BFA",2001,84.42
"BFA",2015,247.7
"BFA",1999,92.87
"BFA",2004,124.71
"BFA",2017,141.47
"BFA",2000,-113.61
"BFA",2006,-1099.64
"BFA",2007,186.73
"BFA",2016,302.75
"BFA",2013,33.91
"BFA",2010,175.35
"BFA",2011,130
"BFA",2014,81.98
"BFA",2012,167.98
"BFA",2003,67.34
"BFA",2002,102.15
"BDI",1997,-8.08
"BDI",2000,18.71
"BDI",2001,-6
"BDI",1995,14.38
"BDI",1996,8.7
"BDI",1998,4.44
"BDI",1999,-6.22
"BDI",2012,22.12
"BDI",2013,3.38
"BDI",2010,33.89
"BDI",2006,29.32
"BDI",2008,22.94
"BDI",2009,-317.43
"BDI",2014,14.94
"BDI",2011,31.39
"BDI",2002,19.58
"BDI",2017,4.52
"BDI",2015,8.9
"BDI",2005,33.67
"BDI",2019,92.34
"BDI",2004,73.18
"BDI",2007,23.15
"BDI",2018,44.06
"BDI",2003,24.28
"BDI",2016,-26.36
"CPV",1995,15.56
"CPV",2017,27.74
"CPV",2018,14.78
"CPV",2011,140.17
"CPV",2010,152.72
"CPV",1999,59.94
"CPV",2013,158.8
"CPV",2012,163.33
"CPV",2016,42.85
"CPV",2009,27.65
"CPV",2014,144.93
"CPV",2015,73.65
"CPV",2007,39.19
"CPV",1998,32.28
"CPV",2000,20.87
"CPV",2019,66.84
"CPV",1997,14.15
"CPV",2001,35.58
"CPV",2004,29.58
"CPV",1996,19.65
"CPV",2008,53.72
"CPV",2006,36.77
"CPV",2002,29.08
"CPV",2003,29.52
"CPV",2005,44.85
"KHM",2014,170.3
"KHM",2016,159.31
"KHM",2017,268.27
"KHM",2018,202.38
"KHM",2015,154.89
"KHM",2007,74.68
"KHM",2010,62.71
"KHM",2013,164.88
"KHM",2012,126.56
"KHM",1996,46.2
"KHM",1997,30.63
"KHM",1998,16.92
"KHM",1999,35.13
"KHM",2019,424.04
"KHM",2006,-34.76
"KHM",2009,65.55
"KHM",2011,54.26
"KHM",2002,91.3
"KHM",2000,44.46
"KHM",1995,65.12
"KHM",2008,65.3
"KHM",2003,84.7
"KHM",2005,42.25
"KHM",2001,52.41
"KHM",2004,71.22
"CMR",2000,50.4
"CMR",1995,114.97
"CMR",1996,55.85
"CMR",2002,84.8
"CMR",2003,-54.31
"CMR",2012,113.17
"CMR",2016,302.49
"CMR",2001,43.93
"CMR",1999,147.6
"CMR",2015,231
"CMR",2009,113.83
"CMR",1997,264.58
"CMR",2004,21.77
"CMR",2008,-482.09
"CMR",2006,-1580.6
"CMR",2007,-81.66
"CMR",2014,360.12
"CMR",2011,34.83
"CMR",2017,664.6
"CMR",2018,554.53
"CMR",2013,243.58
"CMR",2005,-71.1
"CMR",2010,25.06
"CMR",1998,114.01
"CMR",2019,621.28
"CYM",1995,-0.85
"CYM",1996,-2.27
"CAF",2007,-6.94
"CAF",2008,5.55
"CAF",2001,-3.35
"CAF",2002,-6.62
"CAF",2016,52.77
"CAF",2005,-10.72
"CAF",2006,-58.79
"CAF",2012,9.25
"CAF",2004,-8.56
"CAF",2003,-6.87
"CAF",2011,-2.66
"CAF",2015,21.57
"CAF",1999,0.3
"CAF",1998,-8.58
"CAF",2014,35.06
"CAF",2000,-2.06
"CAF",2010,5.39
"CAF",1996,6.09
"CAF",2013,-7.38
"CAF",2017,63.13
"CAF",2019,40.09
"CAF",2018,147.9
"CAF",2009,-130.19
"CAF",1997,-8.33
"CAF",1995,12.12
"TCD",2018,304.1
"TCD",2019,128.18
"TCD",2014,-6.71
"TCD",2016,150.92
"TCD",2004,62.44
"TCD",2002,86.09
"TCD",2013,-37.34
"TCD",2000,37.71
"TCD",2017,179.85
"TCD",2012,-24.31
"TCD",2011,-20.1
"TCD",1999,86.34
"TCD",2015,-439.67
"TCD",2003,84.07
"TCD",2005,70.61
"TCD",1995,52.4
"TCD",1996,117.46
"TCD",1998,40.37
"TCD",2009,-13.05
"TCD",2010,-2.56
"TCD",2008,-45.21
"TCD",2001,50.8
"TCD",2006,33.56
"TCD",1997,74.31
"TCD",2007,8.16
"CHL",2006,20.14
"CHL",2007,22.36
"CHL",2005,18.33
"CHL",2003,-4.91
"CHL",1997,16.77
"CHL",2016,110.78
"CHL",2004,-51.24
"CHL",2014,145.13
"CHL",2001,-24.72
"CHL",2015,-17.19
"CHL",1999,-6.06
"CHL",2002,-77.5
"CHL",2008,16.91
"CHL",2009,-13.17
"CHL",2012,40.95
"CHL",2017,-1.79
"CHL",2011,71.22
"CHL",1996,63.52
"CHL",2013,-6.78
"CHL",2000,-23.39
"CHL",1995,10.22
"CHL",2010,47.77
"CHL",1998,9.84
"CHN",1998,1594.52
"CHN",2001,704.15
"CHN",1997,1322.13
"CHN",1995,2573.51
"CHN",2013,-1616.78
"CHN",1999,1459.26
"CHN",2007,-27.54
"CHN",2003,197.66
"CHN",2017,-1681.67
"CHN",1996,1863.1
"CHN",2012,-1306.53
"CHN",2019,-1342.01
"CHN",2010,-769.26
"CHN",2008,-321.72
"CHN",2006,-101.84
"CHN",2009,-296.44
"CHN",2016,-1473.38
"CHN",2014,-1784.62
"CHN",2000,885.58
"CHN",2002,593.35
"CHN",2004,396.02
"CHN",2005,568.86
"CHN",2011,-1962.4
"CHN",2015,-1041.65
"CHN",2018,-1442.97
"COL",2017,26.51
"COL",2003,-52.9
"COL",2004,-77.49
"COL",1995,10.71
"COL",1996,26.01
"COL",2005,-73.1
"COL",2006,-19.02
"COL",2014,527.36
"COL",2015,584
"COL",2000,-58.78
"COL",2013,176.43
"COL",2007,-11.72
"COL",1997,31.39
"COL",2019,-188.09
"COL",2018,862.99
"COL",2011,136.02
"COL",2012,63.48
"COL",1999,-8.35
"COL",1998,2.78
"COL",2009,-13.27
"COL",2010,110.49
"COL",2016,352.81
"COL",2001,-50.54
"COL",2002,-51.51
"COL",2008,-15.54
"COM",1997,3.37
"COM",1996,6.6
"COM",1995,9.41
"COM",2005,-2.04
"COM",2014,-2.69
"COM",2003,5.19
"COM",2004,-0.5
"COM",2002,9.1
"COM",2011,-0.54
"COM",2006,-1.34
"COM",2001,8.19
"COM",1998,0.05
"COM",2013,-93.95
"COM",2017,-0.25
"COM",2015,0.88
"COM",2012,-7.33
"COM",2016,-1.75
"COM",2019,-17.67
"COM",1999,-3.79
"COM",2000,-0.38
"COM",2010,-0.94
"COM",2008,-2.21
"COM",2007,-0.85
"COM",2009,-1.76
"COM",2018,18.05
"COG",2002,-28.44
"COG",2013,-4.59
"COG",2005,105.12
"COG",2015,-20.12
"COG",2012,-6.71
"COG",2016,-9.56
"COG",2003,3.88
"COG",2014,-15.91
"COG",2018,39.2
"COG",1996,91.13
"COG",2001,20.17
"COG",2010,-72.38
"COG",2011,-51.12
"COG",2008,-6.68
"COG",1995,-2.24
"COG",1999,-9.14
"COG",2009,-29.55
"COG",2019,67.74
"COG",2007,-22.14
"COG",2004,5.89
"COG",1997,4.35
"COG",2006,-26.35
"COG",2017,0.37
"COG",1998,-18.33
"COG",2000,-18.29
"COK",2011,-0.12
"COK",2010,-0.12
"COK",2007,-0.12
"COK",2013,-0.43
"COK",2014,-0.76
"COK",2009,-0.16
"COK",2006,-0.11
"COK",2017,-2.42
"COK",2008,-0.09
"COK",2012,1.09
"COK",2005,-0.11
"COK",2015,-0.97
"COK",2016,-1.08
"COK",2019,-2.01
"COK",2004,-0.11
"COK",2018,-1.43
"CRI",2001,-47.96
"CRI",2011,-17.51
"CRI",2010,22.51
"CRI",2015,57.61
"CRI",2012,-26.33
"CRI",2014,-2.73
"CRI",1997,-69.12
"CRI",2000,-24.58
"CRI",1996,-91.13
"CRI",1995,-58.68
"CRI",2013,-22.09
"CRI",2009,49.46
"CRI",1998,-34.29
"CRI",2004,-33.38
"CRI",2006,-17.44
"CRI",1999,-43.61
"CRI",2016,48.43
"CRI",2008,0.12
"CRI",2005,-18.46
"CRI",2019,7.24
"CRI",2007,-38.12
"CRI",2002,-33.84
"CRI",2003,-11.39
"CRI",2018,43.91
"CRI",2017,35.59
"CIV",2000,40.56
"CIV",2007,-127.8
"CIV",2009,1015.53
"CIV",1999,-3.64
"CIV",1997,42.65
"CIV",2002,318.05
"CIV",2001,-97.59
"CIV",2010,149.64
"CIV",2011,695.47
"CIV",2018,145.27
"CIV",2012,134.65
"CIV",1998,358.94
"CIV",2006,-82.53
"CIV",2005,-133.66
"CIV",2014,0.54
"CIV",1996,358.61
"CIV",2013,-598.7
"CIV",2004,-139.74
"CIV",2019,430.27
"CIV",2008,-209.94
"CIV",1995,636.18
"CIV",2015,4.92
"CIV",2017,-115.49
"CIV",2016,-167.49
"CIV",2003,-108.22
"HRV",1999,-11.74
"HRV",2000,-10.92
"HRV",2009,-9.82
"HRV",2010,-15.47
"HRV",1997,-16.25
"HRV",1998,-18.76
"HRV",2008,-5.86
"HRV",2007,-13.31
"HRV",2001,1.64
"HRV",2006,-14.23
"HRV",2002,7.6
"HRV",2003,-14.98
"HRV",1996,79.07
"HRV",1995,2.82
"HRV",2004,-19.19
"HRV",2005,-10.71
"CUB",2005,14.86
"CUB",2004,14.78
"CUB",2003,-2.29
"CUB",1996,0.96
"CUB",2006,3.5
"CUB",2014,-2.55
"CUB",1999,1.64
"CUB",1997,3.2
"CUB",2001,2.45
"CUB",2012,2.3
"CUB",2013,6.27
"CUB",1998,12.22
"CUB",2016,89.23
"CUB",2011,6.52
"CUB",2007,10.28
"CUB",2009,-0.42
"CUB",2019,14.05
"CUB",2015,10.54
"CUB",2010,-0.2
"CUB",2017,38.49
"CUB",2018,213.44
"CUB",2008,17.99
"CYP",1995,0.15
"CYP",1996,1.74
"PRK",2004,13.17
"PRK",2014,-1.09
