"countries","dac","dist","colony"
"ABW","AUS",15237.5,0
"ABW","CAN",3573.887,0
"ABW","DEU",8034.389,0
"ABW","ESP",7121.524,0
"ABW","FRA",7685.884,0
"ABW","GBR",7541.243,0
"ABW","ITA",8480.133,0
"ABW","JPN",13815.84,0
"ABW","NLD",7896.896,1
"ABW","USA",3161.668,0
"AFG","AUS",11433.49,0
"AFG","CAN",10768.89,0
"AFG","DEU",5226.514,0
"AFG","ESP",6290.493,0
"AFG","FRA",5590.381,0
"AFG","GBR",5718.078,0
"AFG","ITA",4935.994,0
"AFG","JPN",6278.016,0
"AFG","NLD",5361.4,0
"AFG","USA",10847.88,0
"AGO","AUS",13528.2,0
"AGO","CAN",10904.94,0
"AGO","DEU",6738.352,0
"AGO","ESP",5752.252,0
"AGO","FRA",6510.322,0
"AGO","GBR",6837.594,0
"AGO","ITA",5645.243,0
"AGO","JPN",13861.75,0
"AGO","NLD",6856.132,0
"AGO","USA",10427.39,0
"AIA","AUS",16217.81,0
"AIA","CAN",3217.205,0
"AIA","DEU",7065.73,0
"AIA","ESP",6138.721,0
"AIA","FRA",6710.57,0
"AIA","GBR",6574.204,1
"AIA","ITA",7496.875,0
"AIA","JPN",13571.93,0
"AIA","NLD",6931.505,0
"AIA","USA",2717.069,0
"ALB","AUS",15722.44,0
"ALB","CAN",7606.625,0
"ALB","DEU",1493.096,0
"ALB","ESP",1977.061,0
"ALB","FRA",1603.534,0
"ALB","GBR",1895.345,0
"ALB","ITA",611.7626,0
"ALB","JPN",9501.873,0
"ALB","NLD",1664.815,0
"ALB","USA",7439.631,0
"AND","AUS",17230.53,0
"AND","CAN",6296.456,0
"AND","DEU",1080.611,0
"AND","ESP",492.9274,0
"AND","FRA",711.5485,0
"AND","GBR",1009.577,0
"AND","ITA",909.03,0
"AND","JPN",10354.8,0
"AND","NLD",1125.463,0
"AND","USA",6064.699,0
"ANT","AUS",15308.32,0
"ANT","CAN",3651.909,0
"ANT","DEU",7992.204,0
"ANT","ESP",7054.917,0
"ANT","FRA",7638.026,0
"ANT","GBR",7500.189,0
"ANT","ITA",8416.242,0
"ANT","JPN",13920.92,0
"ANT","NLD",7857.021,1
"ANT","USA",3227.007,0
"ARE","AUS",12092.16,0
"ARE","CAN",11105.9,0
"ARE","DEU",5004.562,0
"ARE","ESP",5634.667,0
"ARE","FRA",5249.535,0
"ARE","GBR",5483.745,1
"ARE","ITA",4303.976,0
"ARE","JPN",8062.889,0
"ARE","NLD",5170.816,0
"ARE","USA",11029.46,0
"ARG","AUS",11801.36,0
"ARG","CAN",8970.104,0
"ARG","DEU",11512.14,0
"ARG","ESP",10065.85,1
"ARG","FRA",11072.25,0
"ARG","GBR",11147.48,0
"ARG","ITA",11173.56,0
"ARG","JPN",18372.04,0
"ARG","NLD",11466.75,0
"ARG","USA",8542.694,0
"ARM","AUS",13666.9,0
"ARM","CAN",9139.136,0
"ARM","DEU",3126.056,0
"ARM","ESP",4040.452,0
"ARM","FRA",3434.071,0
"ARM","GBR",3619.365,0
"ARM","ITA",2677.67,0
"ARM","JPN",7943.638,0
"ARM","NLD",3282.178,0
"ARM","USA",9088.867,0
"ATG","AUS",16255.91,0
"ATG","CAN",3382.002,0
"ATG","DEU",7071.959,0
"ATG","ESP",6108.097,0
"ATG","FRA",6708.77,0
"ATG","GBR",6582.637,1
"ATG","ITA",7470.406,0
"ATG","JPN",13731.89,0
"ATG","NLD",6941.241,0
"ATG","USA",2876.399,0
"AUS","AUS",1042.817,0
"AUS","CAN",15586.66,0
"AUS","DEU",16562.72,0
"AUS","ESP",17699.45,0
"AUS","FRA",16975.46,0
"AUS","GBR",17011.27,1
"AUS","ITA",16333.25,0
"AUS","JPN",7831.446,0
"AUS","NLD",16658.11,0
"AUS","USA",16008.79,0
"AUT","AUS",15988.95,0
"AUT","CAN",6922.538,0
"AUT","DEU",763.7314,0
"AUT","ESP",1811.999,0
"AUT","FRA",1035.144,0
"AUT","GBR",1238.199,0
"AUT","ITA",767.4132,0
"AUT","JPN",9141.063,0
"AUT","NLD",934.7828,0
"AUT","USA",6798.701,0
"AZE","AUS",13244.84,0
"AZE","CAN",9390.014,0
"AZE","DEU",3485.098,0
"AZE","ESP",4470.745,0
"AZE","FRA",3817.547,0
"AZE","GBR",3980.449,0
"AZE","ITA",3113.878,0
"AZE","JPN",7537.544,0
"AZE","NLD",3633.827,0
"AZE","USA",9371.842,0
"BDI","AUS",12673.1,0
"BDI","CAN",11774.13,0
"BDI","DEU",6459.994,1
"BDI","ESP",5920.473,0
"BDI","FRA",6371.986,0
"BDI","GBR",6714.679,0
"BDI","ITA",5315.705,0
"BDI","JPN",12076.49,0
"BDI","NLD",6613.338,0
"BDI","USA",11382.61,0
"BEL","AUS",16759.6,0
"BEL","CAN",6031.534,0
"BEL","DEU",196.8761,0
"BEL","ESP",1316.64,0
"BEL","FRA",262.3845,0
"BEL","GBR",323.7796,0
"BEL","ITA",1174.904,0
"BEL","JPN",9463.263,0
"BEL","NLD",173.0333,0
"BEL","USA",5891.711,0
"BEN","AUS",15588.36,0
"BEN","CAN",8873.83,0
"BEN","DEU",5032.831,0
"BEN","ESP",3836.723,0
"BEN","FRA",4726.537,1
"BEN","GBR",5025.699,0
"BEN","ITA",4070.718,0
"BEN","JPN",13561.87,0
"BEN","NLD",5118.854,0
"BEN","USA",8416.831,0
"BFA","AUS",16383.96,0
"BFA","CAN",8088.204,0
"BFA","DEU",4425.02,0
"BFA","ESP",3132.095,0
"BFA","FRA",4082.87,1
"BFA","GBR",4361.322,0
"BFA","ITA",3564.484,0
"BFA","JPN",13325.56,0
"BFA","NLD",4492.509,0
"BFA","USA",7640.939,0
"BGD","AUS",9077.625,0
"BGD","CAN",12464.92,0
"BGD","DEU",7530.185,0
"BGD","ESP",8661.471,0
"BGD","FRA",7916.79,0
"BGD","GBR",8011.9,1
"BGD","ITA",7311.514,0
"BGD","JPN",4903.568,0
"BGD","NLD",7651.716,0
"BGD","USA",12680.43,0
"BGR","AUS",15449.53,0
"BGR","CAN",7729.773,0
"BGR","DEU",1571.797,0
"BGR","ESP",2254.799,0
"BGR","FRA",1760.707,0
"BGR","GBR",2019.341,0
"BGR","ITA",893.0574,0
"BGR","JPN",9191.48,0
"BGR","NLD",1745.082,0
"BGR","USA",7588.903,0
"BHR","AUS",12518.59,0
"BHR","CAN",10737.03,0
"BHR","DEU",4610.664,0
"BHR","ESP",5210.13,0
"BHR","FRA",4843.391,0
"BHR","GBR",5085.171,1
"BHR","ITA",3883.804,0
"BHR","JPN",8282.34,0
"BHR","NLD",4778.667,0
"BHR","USA",10643.58,0
"BHS","AUS",15278.03,0
"BHS","CAN",2074.812,0
"BHS","DEU",7479.404,0
"BHS","ESP",6901.421,0
"BHS","FRA",7209.45,0
"BHS","GBR",6990.248,1
"BHS","ITA",8174.021,0
"BHS","JPN",12227.93,0
"BHS","NLD",7320.031,0
"BHS","USA",1770.893,0
"BIH","AUS",15851.07,0
"BIH","CAN",7341.015,0
"BIH","DEU",1202.42,0
"BIH","ESP",1861.879,0
"BIH","FRA",1352.463,0
"BIH","GBR",1625.285,0
"BIH","ITA",531.7457,0
"BIH","JPN",9380.609,0
"BIH","NLD",1375.387,0
"BIH","USA",7188.323,0
"BLR","AUS",15157.96,0
"BLR","CAN",7158.217,0
"BLR","DEU",1405.056,0
"BLR","ESP",2762.7,0
"BLR","FRA",1823.709,0
"BLR","GBR",1873.072,0
"BLR","ITA",1732.921,0
"BLR","JPN",8145.003,0
"BLR","NLD",1512.952,0
"BLR","USA",7125.836,0
"BLZ","AUS",13821.95,0
"BLZ","CAN",3072.831,0
"BLZ","DEU",8917.346,0
"BLZ","ESP",8377.725,0
"BLZ","FRA",8664.439,0
"BLZ","GBR",8433.086,1
"BLZ","ITA",9645.203,0
"BLZ","JPN",12236.8,0
"BLZ","NLD",8754.366,0
"BLZ","USA",2979.495,0
"BMU","AUS",16692.54,0
"BMU","CAN",1792.637,0
"BMU","DEU",6050.847,0
"BMU","ESP",5440.475,0
"BMU","FRA",5764.324,0
"BMU","GBR",5558.09,1
"BMU","ITA",6714.033,0
"BMU","JPN",12047.48,0
"BMU","NLD",5895.736,0
"BMU","USA",1248.121,0
"BOL","AUS",13045.96,0
"BOL","CAN",6791.604,0
"BOL","DEU",10457.82,0
"BOL","ESP",9181.015,1
"BOL","FRA",10038.45,0
"BOL","GBR",10008.5,0
"BOL","ITA",10488.25,0
"BOL","JPN",16543.56,0
"BOL","NLD",10363.28,0
"BOL","USA",6400.357,0
"BRA","AUS",13371.76,0
"BRA","CAN",8191.353,0
"BRA","DEU",9847.663,0
"BRA","ESP",8389.78,0
"BRA","FRA",9408.406,0
"BRA","GBR",9501.71,0
"BRA","ITA",9482.516,0
"BRA","JPN",18549.61,0
"BRA","NLD",9810.82,0
"BRA","USA",7694.307,0
"BRB","AUS",16159.07,0
"BRB","CAN",3889.655,0
"BRB","DEU",7264.996,0
"BRB","ESP",6205.881,0
"BRB","FRA",6882.34,0
"BRB","GBR",6783.758,1
"BRB","ITA",7572.592,0
"BRB","JPN",14235.72,0
"BRB","NLD",7144.036,0
"BRB","USA",3381.507,0
"BRN","AUS",5756.495,0
"BRN","CAN",14437.83,0
"BRN","DEU",10811.99,0
"BRN","ESP",12015.61,0
"BRN","FRA",11219.33,0
"BRN","GBR",11275.72,1
"BRN","ITA",10673.06,0
"BRN","JPN",4260.378,0
"BRN","NLD",10917.29,0
"BRN","USA",14867.64,0
"BTN","AUS",9413.485,0
"BTN","CAN",12033.81,0
"BTN","DEU",7174.233,0
"BTN","ESP",8347.022,0
"BTN","FRA",7569.353,0
"BTN","GBR",7650.882,0
"BTN","ITA",7009.517,0
"BTN","JPN",4774.179,0
"BTN","NLD",7290.597,0
"BTN","USA",12250.78,0
"BWA","AUS",11312.15,0
"BWA","CAN",13081.88,0
"BWA","DEU",8683.136,0
"BWA","ESP",7875.38,0
"BWA","FRA",8522.764,0
"BWA","GBR",8862.068,1
"BWA","ITA",7543.876,0
"BWA","JPN",13671.53,0
"BWA","NLD",8821.605,0
"BWA","USA",12583.97,0
"CAF","AUS",14139.34,0
"CAF","CAN",10320.65,0
"CAF","DEU",5350.604,0
"CAF","ESP",4592.132,0
"CAF","FRA",5186.042,1
"CAF","GBR",5526.035,0
"CAF","ITA",4217.791,0
"CAF","JPN",12463.1,0
"CAF","NLD",5486.255,0
"CAF","USA",9918.684,0
"CAN","AUS",15586.66,0
"CAN","CAN",1187.996,0
"CAN","DEU",6160.559,0
"CAN","ESP",6040.498,0
"CAN","FRA",6004.645,1
"CAN","GBR",5715.747,1
"CAN","ITA",7089.198,0
"CAN","JPN",10358.49,0
"CAN","NLD",5988.239,0
"CAN","USA",548.3946,0
"CCK","AUS",5967.048,1
"CCK","CAN",16547.92,0
"CCK","DEU",11091.56,0
"CCK","ESP",11802.91,0
"CCK","FRA",11388.36,0
"CCK","GBR",11585.19,1
"CCK","ITA",10481.12,0
"CCK","JPN",7006.976,0
"CCK","NLD",11245.62,0
"CCK","USA",16764.67,0
"CHE","AUS",16673.2,0
"CHE","CAN",6440.717,0
"CHE","DEU",503.8007,0
"CHE","ESP",1153.117,0
"CHE","FRA",436.0778,0
"CHE","GBR",748.7117,0
"CHE","ITA",692.6592,0
"CHE","JPN",9680.594,0
"CHE","NLD",628.025,0
"CHE","USA",6272.285,0
"CHL","AUS",11353.72,0
"CHL","CAN",8632.244,0
"CHL","DEU",12098.41,0
"CHL","ESP",10715.11,1
"CHL","FRA",11663.39,0
"CHL","GBR",11685.42,0
"CHL","ITA",11923.97,0
"CHL","JPN",17247.38,0
"CHL","NLD",12027.16,0
"CHL","USA",8271.045,0
"CHN","AUS",8956.436,0
"CHN","CAN",10598.32,0
"CHN","DEU",7785.342,0
"CHN","ESP",9232.299,0
"CHN","FRA",8225.232,0
"CHN","GBR",8151.353,0
"CHN","ITA",8134.695,0
"CHN","JPN",2098.111,0
"CHN","NLD",7831.141,0
"CHN","USA",10993.68,0
"CIV","AUS",15950.81,0
"CIV","CAN",8431.855,0
"CIV","DEU",5236.513,0
"CIV","ESP",3906.717,0
"CIV","FRA",4884.159,1
"CIV","GBR",5152.519,0
"CIV","ITA",4386.772,0
"CIV","JPN",14108.31,0
"CIV","NLD",5298.531,0
"CIV","USA",7948.649,0
"CMR","AUS",14687.67,0
"CMR","CAN",9793.375,0
"CMR","DEU",5316.503,0
"CMR","ESP",4347.477,0
"CMR","FRA",5085.718,1
"CMR","GBR",5413.581,0
"CMR","ITA",4234.211,0
"CMR","JPN",13083.03,0
"CMR","NLD",5432.492,0
"CMR","USA",9359.483,0
"COG","AUS",13759.13,0
"COG","CAN",10713.35,0
"COG","DEU",6248.905,0
"COG","ESP",5332.644,0
"COG","FRA",6041.018,1
"COG","GBR",6373.541,0
"COG","ITA",5140.217,0
"COG","JPN",13371.68,0
"COG","NLD",6372.873,0
"COG","USA",10259.8,0
"COK","AUS",4993.979,0
"COK","CAN",10893.04,0
"COK","DEU",16474.39,0
"COK","ESP",16920.43,0
"COK","FRA",16568.87,0
"COK","GBR",16226.45,1
"COK","ITA",17620.41,0
"COK","JPN",8977.206,0
"COK","NLD",16324.53,0
"COK","USA",11196.47,0
"COL","AUS",14260.45,0
"COL","CAN",4363.174,0
"COL","DEU",9062.736,0
"COL","ESP",8107.001,1
"COL","FRA",8707.677,0
"COL","GBR",8570.659,0
"COL","ITA",9471.443,0
"COL","JPN",14262.86,0
"COL","NLD",8927.356,0
"COL","USA",4021.171,0
"COM","AUS",10894.3,0
"COM","CAN",13518.01,0
"COM","DEU",7847.916,0
"COM","ESP",7547.986,0
"COM","FRA",7842.67,1
"COM","GBR",8177.545,0
"COM","ITA",6740.349,0
"COM","JPN",11351.43,0
"COM","NLD",8014.141,0
"COM","USA",13150.82,0
"CPV","AUS",17855.77,0
"CPV","CAN",6150.237,0
"CPV","DEU",4889.913,0
"CPV","ESP",3425.471,0
"CPV","FRA",4452.386,0
"CPV","GBR",4572.15,0
"CPV","ITA",4571.382,0
"CPV","JPN",14133.65,0
"CPV","NLD",4863.254,0
"CPV","USA",5640.555,0
"CRI","AUS",13829.48,0
"CRI","CAN",3774.394,0
"CRI","DEU",9221.746,0
"CRI","ESP",8483.913,1
"CRI","FRA",8919.449,0
"CRI","GBR",8727.512,0
"CRI","ITA",9813.549,0
"CRI","JPN",13182.38,0
"CRI","NLD",9068.949,0
"CRI","USA",3564.9,0
"CUB","AUS",14717.39,0
"CUB","CAN",2302.272,0
"CUB","DEU",7986.025,0
"CUB","ESP",7450.005,1
"CUB","FRA",7729.485,0
"CUB","GBR",7500.414,0
"CUB","ITA",8710.583,0
"CUB","JPN",12127.1,0
"CUB","NLD",7823.974,0
"CUB","USA",2114.841,0
"CXR","AUS",5303.951,1
"CXR","CAN",16302.4,0
"CXR","DEU",11526.17,0
"CXR","ESP",12408.87,0
"CXR","FRA",11866.1,0
"CXR","GBR",12020.61,1
"CXR","ITA",11053.25,0
"CXR","JPN",6251.553,0
"CXR","NLD",11667.14,0
"CXR","USA",16657.66,0
"CYM","AUS",14619.49,0
"CYM","CAN",2716.584,0
"CYM","DEU",8238.333,0
"CYM","ESP",7615.294,0
"CYM","FRA",7960.709,0
"CYM","GBR",7747.743,1
"CYM","ITA",8907.688,0
"CYM","JPN",12535.78,0
"CYM","NLD",8080.208,0
"CYM","USA",2488.701,0
"CYP","AUS",14426.82,0
"CYP","CAN",8935.357,0
"CYP","DEU",2776.08,0
"CYP","ESP",3288.066,0
"CYP","FRA",2954.551,0
"CYP","GBR",3223.638,1
"CYP","ITA",1957.84,0
"CYP","JPN",9068.81,0
"CYP","NLD",2949.04,0
"CYP","USA",8790.811,0
"CZE","AUS",16097.52,0
"CZE","CAN",6687.748,0
"CZE","DEU",545.6255,0
"CZE","ESP",1776.348,0
"CZE","FRA",884.6105,0
"CZE","GBR",1036.988,0
"CZE","ITA",926.5591,0
"CZE","JPN",9082.237,0
"CZE","NLD",709.4576,0
"CZE","USA",6573.925,0
"DEU","AUS",16562.72,0
"DEU","CAN",6160.559,0
"DEU","DEU",224.8358,0
"DEU","ESP",1479.332,0
"DEU","FRA",439.8984,0
"DEU","GBR",495.3633,0
"DEU","ITA",1146.023,0
"DEU","JPN",9298.341,0
"DEU","NLD",173.5239,0
"DEU","USA",6035.334,0
"DJI","AUS",12390.16,0
"DJI","CAN",11577.94,0
"DJI","DEU",5505.173,0
"DJI","ESP",5585.897,0
"DJI","FRA",5595.459,1
"DJI","GBR",5905.048,0
"DJI","ITA",4495.316,0
"DJI","JPN",9852.563,0
"DJI","NLD",5678.008,0
"DJI","USA",11349.03,0
"DMA","AUS",16171.07,0
"DMA","CAN",3587.137,0
"DMA","DEU",7196.926,0
"DMA","ESP",6196.857,0
"DMA","FRA",6826.396,0
"DMA","GBR",6710.115,1
"DMA","ITA",7562.121,0
"DMA","JPN",13939.63,0
"DMA","NLD",7069.602,0
"DMA","USA",3084.049,0
"DNK","AUS",16054.1,0
"DNK","CAN",6257.225,0
"DNK","DEU",595.8536,0
"DNK","ESP",2074.977,0
"DNK","FRA",1027.609,0
"DNK","GBR",959.5936,0
"DNK","ITA",1534.086,0
"DNK","JPN",8702.536,0
"DNK","NLD",622.9741,0
"DNK","USA",6191.893,0
"DOM","AUS",15636.41,0
"DOM","CAN",2939.963,0
"DOM","DEU",7507.384,0
"DOM","ESP",6688.105,0
"DOM","FRA",7178.52,1
"DOM","GBR",7012.195,0
"DOM","ITA",8029.474,0
"DOM","JPN",13248.36,0
"DOM","NLD",7363.132,0
"DOM","USA",2508.955,0
"DZA","AUS",17139.16,0
"DZA","CAN",6747.007,0
"DZA","DEU",1658.841,0
"DZA","ESP",706.8757,0
"DZA","FRA",1340.39,1
"DZA","GBR",1651.441,0
"DZA","ITA",991.1346,0
"DZA","JPN",10810.22,0
"DZA","NLD",1733.388,0
"DZA","USA",6471.879,0
"ECU","AUS",13617.09,0
"ECU","CAN",4884.964,0
"ECU","DEU",9724.277,0
"ECU","ESP",8751.16,1
"ECU","FRA",9367.098,0
"ECU","GBR",9232.525,0
"ECU","ITA",10117.13,0
"ECU","JPN",14448.87,0
"ECU","NLD",9589.459,0
"ECU","USA",4584.073,0
"EGY","AUS",14425.52,0
"EGY","CAN",9217.863,0
"EGY","DEU",3111.573,0
"EGY","ESP",3355.657,0
"EGY","FRA",3215.215,0
"EGY","GBR",3516.866,1
"EGY","ITA",2133.612,0
"EGY","JPN",9577.598,0
"EGY","NLD",3284.383,0
"EGY","USA",9028.413,0
"ERI","AUS",13000.68,0
"ERI","CAN",10963.59,0
"ERI","DEU",4919.472,0
"ERI","ESP",4964.891,0
"ERI","FRA",4993.154,0
"ERI","GBR",5307.508,1
"ERI","ITA",3888.729,0
"ERI","JPN",9975.642,0
"ERI","NLD",5091.466,0
"ERI","USA",10729.35,0
"ESH","AUS",18360.17,0
"ESH","CAN",6110.595,0
"ESH","DEU",3190.601,0
"ESH","ESP",1712.585,1
"ESH","FRA",2759.848,0
"ESH","GBR",2920.741,0
"ESH","ITA",2850.426,0
"ESH","JPN",12484.86,0
"ESH","NLD",3181.494,0
"ESH","USA",5697.897,0
"ESP","AUS",17699.45,0
"ESP","CAN",6040.498,0
"ESP","DEU",1479.332,0
"ESP","ESP",267.5404,0
"ESP","FRA",1054.656,0
"ESP","GBR",1263.379,0
"ESP","ITA",1366.76,0
"ESP","JPN",10777.42,0
"ESP","NLD",1481.366,0
"ESP","USA",5770.264,1
"EST","AUS",15241.88,0
"EST","CAN",6645.816,0
"EST","DEU",1421.076,0
"EST","ESP",2895.384,0
"EST","FRA",1859.091,0
"EST","GBR",1787.092,0
"EST","ITA",2126.436,0
"EST","JPN",7890.779,0
"EST","NLD",1459.083,0
"EST","USA",6653.48,0
"ETH","AUS",12635.79,0
"ETH","CAN",11491.9,0
"ETH","DEU",5541.322,0
"ETH","ESP",5455.203,0
"ETH","FRA",5582.502,0
"ETH","GBR",5906.45,0
"ETH","ITA",4472.661,0
"ETH","JPN",10401.23,0
"ETH","NLD",5711.346,0
"ETH","USA",11220.63,0
"FIN","AUS",15211.41,0
"FIN","CAN",6610.818,0
"FIN","DEU",1474.956,0
"FIN","ESP",2952.195,0
"FIN","FRA",1911.138,0
"FIN","GBR",1826.928,0
"FIN","ITA",2203.158,0
"FIN","JPN",7830.051,0
"FIN","NLD",1505.523,0
"FIN","USA",6625.923,0
"FJI","AUS",3224.041,0
"FJI","CAN",12366.59,0
"FJI","DEU",16247.89,0
"FJI","ESP",17545.32,0
"FJI","FRA",16595.08,0
"FJI","GBR",16318.07,1
"FJI","ITA",17071.74,0
"FJI","JPN",7243.281,0
"FJI","NLD",16183.67,0
"FJI","USA",12785.54,0
"FLK","AUS",10096.16,0
"FLK","CAN",10813.12,0
"FLK","DEU",12991.32,0
"FLK","ESP",11512.18,1
"FLK","FRA",12560.39,0
"FLK","GBR",12696.32,1
"FLK","ITA",12425.37,0
"FLK","JPN",17767.92,0
"FLK","NLD",12979.26,0
"FLK","USA",10407.93,0
"FRA","AUS",16975.46,0
"FRA","CAN",6004.645,1
"FRA","DEU",439.8984,0
"FRA","ESP",1054.656,0
"FRA","FRA",278.1876,0
"FRA","GBR",342.9475,0
"FRA","ITA",1109.901,0
"FRA","JPN",9725.629,0
"FRA","NLD",427.9169,0
"FRA","USA",5838.157,1
"FRO","AUS",16536.22,0
"FRO","CAN",4973.24,0
"FRO","DEU",1436.932,0
"FRO","ESP",2412.813,0
"FRO","FRA",1568.769,0
"FRO","GBR",1236.301,0
"FRO","ITA",2579.003,0
"FRO","JPN",8752.655,0
"FRO","NLD",1281.368,0
"FRO","USA",4946.012,0
"FSM","AUS",4602.055,0
"FSM","CAN",11969.61,0
"FSM","DEU",12979.78,1
"FSM","ESP",14450.74,1
"FSM","FRA",13396.33,0
"FSM","GBR",13212.55,0
"FSM","ITA",13583.05,0
"FSM","JPN",3715.06,1
"FSM","NLD",12969.38,0
"FSM","USA",12515.13,1
"GAB","AUS",14576.87,0
"GAB","CAN",9890.57,0
"GAB","DEU",5690.174,0
"GAB","ESP",4649.618,0
"GAB","FRA",5438.787,1
"GAB","GBR",5760.095,0
"GAB","ITA",4629.279,0
"GAB","JPN",13518.48,0
"GAB","NLD",5799.191,0
"GAB","USA",9434.418,0
"GBR","AUS",17011.27,1
"GBR","CAN",5715.747,1
"GBR","DEU",495.3633,0
"GBR","ESP",1263.379,0
"GBR","FRA",342.9475,0
"GBR","GBR",185.8346,0
"GBR","ITA",1438.425,0
"GBR","JPN",9574.237,0
"GBR","NLD",360.315,0
"GBR","USA",5570.161,1
"GEO","AUS",13695.83,0
"GEO","CAN",9019.536,0
"GEO","DEU",3049.704,0
"GEO","ESP",4020.387,0
"GEO","FRA",3373.349,0
"GEO","GBR",3544.626,0
"GEO","ITA",2665.359,0
"GEO","JPN",7832.76,0
"GEO","NLD",3201.787,0
"GEO","USA",8980.505,0
"GHA","AUS",15717.05,0
"GHA","CAN",8716.146,0
"GHA","DEU",5154.183,0
"GHA","ESP",3896.073,0
"GHA","FRA",4827.292,0
"GHA","GBR",5114.203,1
"GHA","ITA",4236.602,0
"GHA","JPN",13830.76,0
"GHA","NLD",5230.238,0
"GHA","USA",8246.163,0
"GIB","AUS",17883.77,0
"GIB","CAN",6166.289,0
"GIB","DEU",1967.273,0
"GIB","ESP",497.6063,0
"GIB","FRA",1549.175,0
